question,edge,sampled_steps,heavy_early_mean_0_4,heavy_mid_mean_12_16,heavy_late_mean_23_27,assessment,sampled_layers,heavy_top_layers,sampled_heads,heavy_top_layer_heads
step_representativeness,X->R1,"{""0"": 0.11783375866616552, ""14"": 0.10326468851000148, ""27"": 0.053416295518096985}",0.1162674229198698,0.10263526875191017,0.0654239113917453,representative,,,,
layer_representativeness,X->R1,,,,,missed_top3,"[0, 4, 14, 24]","[[16, 0.23633620128358807], [19, 0.17515977245160944], [18, 0.16667510127964696], [4, 0.1574321733219438], [20, 0.14974257803571941]]",,
head_representativeness,X->R1,,,,,covered,,,"[0, 4, 8, 12, 16, 20]","[[19, 0, 0.688603652375085], [14, 12, 0.6769130889858518], [20, 1, 0.6582481839827129], [12, 14, 0.6551746853760311], [16, 19, 0.6330645073737416], [5, 15, 0.6047616207173893], [9, 10, 0.5691700843828065], [17, 22, 0.5689847618341446], [16, 8, 0.5689579163278852], [7, 23, 0.5644730659467834]]"
step_representativeness,X->P,"{""0"": 0.2984434678519998, ""14"": 0.2728984231421297, ""27"": 0.27730976631199156}",0.2827452738112382,0.27250841149932237,0.27365587866089724,representative,,,,
layer_representativeness,X->P,,,,,missed_top3,"[0, 4, 14, 24]","[[10, 0.599803971603424], [9, 0.5160293887318057], [15, 0.4055888992124459], [8, 0.37224570766972775], [14, 0.3504709158234099]]",,
head_representativeness,X->P,,,,,covered,,,"[0, 4, 8, 12, 16, 20]","[[12, 17, 0.9893616331475121], [9, 11, 0.9639351921422141], [9, 12, 0.943513714841434], [9, 20, 0.9305487871170044], [15, 17, 0.9233681325401578], [13, 22, 0.9141022967440742], [10, 21, 0.9105038131986346], [5, 20, 0.9080631307193211], [9, 6, 0.9064197795731681], [14, 20, 0.9039970168045589]]"
step_representativeness,X->S,"{""0"": 0.11807212352364635, ""14"": 0.08608628411830675, ""27"": 0.07145003680081573}",0.10606709118639993,0.08603810424621527,0.07566209939067872,representative,,,,
layer_representativeness,X->S,,,,,covered,"[0, 4, 14, 24]","[[4, 0.13036343956177698], [1, 0.12579907319464145], [2, 0.12248145218472928], [7, 0.1117125058725443], [5, 0.11121780310211415]]",,
head_representativeness,X->S,,,,,covered,,,"[0, 4, 8, 12, 16, 20]","[[5, 15, 0.3449679836630821], [3, 15, 0.3433262375848634], [1, 20, 0.3420221635273525], [5, 22, 0.33715929090976715], [2, 16, 0.33647676557302475], [2, 5, 0.3320265848721777], [4, 4, 0.3171495997479984], [2, 19, 0.3082428547952856], [4, 10, 0.3003379074590547], [12, 14, 0.2999159118958882]]"
step_representativeness,S->R1,"{""0"": 0.11747945072401005, ""14"": 0.1057978396114948, ""27"": 0.10730843745351497}",0.11333553572327318,0.10601675765928083,0.106453218459336,representative,,,,
layer_representativeness,S->R1,,,,,covered,"[0, 4, 14, 24]","[[24, 0.2029176885340394], [23, 0.17944238894666004], [22, 0.17747180136941315], [17, 0.13126802131506232], [10, 0.12235926454237868]]",,
head_representativeness,S->R1,,,,,missed_top10,,,"[0, 4, 8, 12, 16, 20]","[[10, 1, 0.7767044095432057], [10, 22, 0.48215334054802644], [13, 3, 0.4491830558336082], [11, 1, 0.44812373554005347], [22, 3, 0.4243006165288076], [4, 10, 0.41125990362728343], [22, 15, 0.3912188515943639], [23, 4, 0.376935900760298], [24, 7, 0.36632585926216193], [6, 21, 0.35647386863452046]]"
step_representativeness,R1->S,"{""0"": 0.12369564761333487, ""14"": 0.0979512387957263, ""27"": 0.10011978034805745}",0.11345093489207776,0.09810508676648297,0.09922824610231613,representative,,,,
layer_representativeness,R1->S,,,,,covered,"[0, 4, 14, 24]","[[0, 0.16468052354742999], [10, 0.15671983167587558], [1, 0.1424675287779682], [24, 0.13790017992508513], [23, 0.13240212494773523]]",,
head_representativeness,R1->S,,,,,missed_top10,,,"[0, 4, 8, 12, 16, 20]","[[10, 1, 0.8292427403586251], [10, 22, 0.6011978868676835], [1, 3, 0.385261203060631], [10, 9, 0.3634031209625116], [10, 2, 0.31895451185082185], [0, 19, 0.3143682079154904], [6, 21, 0.3065022320306601], [2, 11, 0.29607072197088674], [2, 19, 0.2821054814242515], [0, 15, 0.27439084423690285]]"
step_representativeness,S->X,"{""0"": 0.1349201674489122, ""14"": 0.15444649249534395, ""27"": 0.18754072102444136}",0.14092922420719384,0.15479637248485403,0.17437067196145653,representative,,,,
layer_representativeness,S->X,,,,,covered,"[0, 4, 14, 24]","[[24, 0.38824040682188105], [23, 0.24744931024340105], [1, 0.23206566950614127], [0, 0.21443540937885514], [9, 0.19721912452592372]]",,
head_representativeness,S->X,,,,,missed_top10,,,"[0, 4, 8, 12, 16, 20]","[[5, 22, 0.7949647903442383], [8, 5, 0.7923027687713879], [9, 10, 0.6811162303475772], [24, 6, 0.6665487990659826], [24, 10, 0.6313635842138979], [7, 23, 0.6270742616733582], [23, 22, 0.6076928687696698], [23, 18, 0.594919303886029], [1, 16, 0.5900494711739677], [24, 21, 0.5862162614069064]]"
step_representativeness,R1->X,"{""0"": 0.1439393161164423, ""14"": 0.17800748928105367, ""27"": 0.22329956745356777}",0.15250597127431584,0.17841721187120158,0.20875903136380858,representative,,,,
layer_representativeness,R1->X,,,,,covered,"[0, 4, 14, 24]","[[24, 0.5270220395503696], [23, 0.27561290770787383], [9, 0.2560370191351788], [1, 0.25185649355867595], [5, 0.2185770148434709]]",,
head_representativeness,R1->X,,,,,missed_top10,,,"[0, 4, 8, 12, 16, 20]","[[5, 22, 0.9487660812730548], [7, 23, 0.9044160121629218], [9, 10, 0.8987751427818748], [12, 14, 0.8572709299937016], [24, 6, 0.8479767366617667], [24, 15, 0.8473965660864565], [8, 5, 0.8374087369742513], [24, 21, 0.7960590214288535], [9, 3, 0.7823937800752014], [24, 7, 0.7490450334148246]]"
