edge,mean,min,max,count
X->S,0.08839616868511734,0.00013469930854626,0.6798987984657288,16800
X->R1,0.09711905991679054,6.184984522406012e-05,0.8112881183624268,16800
X->P,0.27291230353638984,8.930541662266478e-05,0.996617317199707,16800
S->R1,0.10793064996913394,1.3464837513097069e-05,0.8840004977057961,16800
R1->S,0.10177864930908971,1.0818309794344446e-05,0.9033599180333755,16800
S->X,0.15594131349549428,0.001950657762148801,0.8602496876436121,16800
R1->X,0.17929281257265334,5.953539820278392e-05,0.9564904605641085,16800
X->X,0.5764078500949766,0.0032290592789649963,0.9891172051429749,16800
S->S,0.58524949548684,0.0002505940056460745,0.9761342441334444,16800
R1->R1,0.5684531205469044,8.988525437684182e-07,0.9982619566075942,16800
P->P,0.6539690326961101,0.006285174749791622,0.9988754987716675,16800
