edge,rank,layer,head,mean_value
X->S,1,5,15,0.3449679836630821
X->S,2,3,15,0.3433262375848634
X->S,3,1,20,0.3420221635273525
X->S,4,5,22,0.33715929090976715
X->S,5,2,16,0.33647676557302475
X->S,6,2,5,0.3320265848721777
X->S,7,4,4,0.3171495997479984
X->S,8,2,19,0.3082428547952856
X->S,9,4,10,0.3003379074590547
X->S,10,12,14,0.2999159118958882
X->S,11,7,23,0.2986695771770818
X->S,12,9,10,0.2943315495337759
X->S,13,14,12,0.2863549387880734
X->S,14,4,22,0.2819284288478749
X->S,15,7,11,0.2729672150952475
X->S,16,3,4,0.272406918661935
X->S,17,19,0,0.2637678533792496
X->S,18,6,10,0.25987689037408146
X->S,19,4,18,0.25172278551118715
X->S,20,9,3,0.24829446444553988
X->R1,1,19,0,0.688603652375085
X->R1,2,14,12,0.6769130889858518
X->R1,3,20,1,0.6582481839827129
X->R1,4,12,14,0.6551746853760311
X->R1,5,16,19,0.6330645073737416
X->R1,6,5,15,0.6047616207173893
X->R1,7,9,10,0.5691700843828065
X->R1,8,17,22,0.5689847618341446
X->R1,9,16,8,0.5689579163278852
X->R1,10,7,23,0.5644730659467834
X->R1,11,4,4,0.5585693514772824
X->R1,12,18,17,0.5304596519895962
X->R1,13,5,22,0.523437884237085
X->R1,14,12,7,0.5085101835429668
X->R1,15,19,11,0.500279786331313
X->R1,16,16,9,0.4909959893141474
X->R1,17,15,3,0.49065970735890524
X->R1,18,8,3,0.4707159607538155
X->R1,19,19,3,0.45909019453184946
X->R1,20,6,10,0.45830128341913223
X->P,1,12,17,0.9893616331475121
X->P,2,9,11,0.9639351921422141
X->P,3,9,12,0.943513714841434
X->P,4,9,20,0.9305487871170044
X->P,5,15,17,0.9233681325401578
X->P,6,13,22,0.9141022967440742
X->P,7,10,21,0.9105038131986346
X->P,8,5,20,0.9080631307193211
X->P,9,9,6,0.9064197795731681
X->P,10,14,20,0.9039970168045589
X->P,11,10,12,0.901322969368526
X->P,12,9,22,0.8999642197574887
X->P,13,9,19,0.8889568746089935
X->P,14,10,10,0.8790128231048584
X->P,15,10,11,0.8789420915501458
X->P,16,8,1,0.8621538664613452
X->P,17,10,18,0.8572332156555993
X->P,18,7,17,0.8489182527576175
X->P,19,19,8,0.8478241243532726
X->P,20,10,14,0.8445311869893756
S->R1,1,10,1,0.7767044095432057
S->R1,2,10,22,0.48215334054802644
S->R1,3,13,3,0.4491830558336082
S->R1,4,11,1,0.44812373554005347
S->R1,5,22,3,0.4243006165288076
S->R1,6,4,10,0.41125990362728343
S->R1,7,22,15,0.3912188515943639
S->R1,8,23,4,0.376935900760298
S->R1,9,24,7,0.36632585926216193
S->R1,10,6,21,0.35647386863452046
S->R1,11,17,21,0.3554945392768924
S->R1,12,22,17,0.33865655169767495
S->R1,13,23,19,0.3268365920090876
S->R1,14,24,3,0.325472358895951
S->R1,15,23,2,0.3201952932261619
S->R1,16,24,21,0.3149818858178724
S->R1,17,22,22,0.31187641520460113
S->R1,18,22,4,0.3101230413973832
S->R1,19,23,20,0.2914801625644459
S->R1,20,18,1,0.2891574837580448
R1->S,1,10,1,0.8292427403586251
R1->S,2,10,22,0.6011978868676835
R1->S,3,1,3,0.385261203060631
R1->S,4,10,9,0.3634031209625116
R1->S,5,10,2,0.31895451185082185
R1->S,6,0,19,0.3143682079154904
R1->S,7,6,21,0.3065022320306601
R1->S,8,2,11,0.29607072197088674
R1->S,9,2,19,0.2821054814242515
R1->S,10,0,15,0.27439084423690285
R1->S,11,23,11,0.27336989230468495
R1->S,12,5,21,0.2559836441729249
R1->S,13,1,1,0.2551627184162621
R1->S,14,16,23,0.2525848270464344
R1->S,15,23,16,0.24800713873710953
R1->S,16,7,19,0.24477368693391816
R1->S,17,9,8,0.23736203818762003
R1->S,18,0,6,0.23657111811036824
R1->S,19,0,17,0.23265596798488072
R1->S,20,24,13,0.23018061062868903
S->X,1,5,22,0.7949647903442383
S->X,2,8,5,0.7923027687713879
S->X,3,9,10,0.6811162303475772
S->X,4,24,6,0.6665487990659826
S->X,5,24,10,0.6313635842138979
S->X,6,7,23,0.6270742616733582
S->X,7,23,22,0.6076928687696698
S->X,8,23,18,0.594919303886029
S->X,9,1,16,0.5900494711739677
S->X,10,24,21,0.5862162614069064
S->X,11,24,15,0.5802419866834369
S->X,12,24,1,0.5738257700655641
S->X,13,24,20,0.5590515617562943
S->X,14,22,8,0.5491012184559798
S->X,15,2,19,0.5211735603188267
S->X,16,24,17,0.5169088469833887
S->X,17,15,12,0.5103209289182133
S->X,18,9,8,0.5090840323632505
S->X,19,9,5,0.49531859109381665
S->X,20,2,5,0.49210367332987426
R1->X,1,5,22,0.9487660812730548
R1->X,2,7,23,0.9044160121629218
R1->X,3,9,10,0.8987751427818748
R1->X,4,12,14,0.8572709299937016
R1->X,5,24,6,0.8479767366617667
R1->X,6,24,15,0.8473965660864565
R1->X,7,8,5,0.8374087369742513
R1->X,8,24,21,0.7960590214288535
R1->X,9,9,3,0.7823937800752014
R1->X,10,24,7,0.7490450334148246
R1->X,11,24,20,0.7449059927163004
R1->X,12,24,10,0.7064425785000584
R1->X,13,5,18,0.6796791172828994
R1->X,14,24,1,0.6670265077542857
R1->X,15,12,18,0.6619024056346478
R1->X,16,24,17,0.6582747527531215
R1->X,17,19,8,0.6574047493333576
R1->X,18,23,22,0.6564204873157148
R1->X,19,23,18,0.6343735867187756
R1->X,20,9,5,0.6244253911891906
X->X,1,3,18,0.9763960668018886
X->X,2,2,4,0.9759278063263211
X->X,3,24,23,0.9709049803870065
X->X,4,2,9,0.9694474701370511
X->X,5,0,2,0.9683040486914771
X->X,6,11,15,0.9682275525161198
X->X,7,2,22,0.9668027801173074
X->X,8,3,8,0.9661266867603574
X->X,9,16,3,0.9658785441092083
X->X,10,14,5,0.9649202568190438
X->X,11,0,12,0.9641936847141811
X->X,12,2,6,0.9638892646346774
X->X,13,2,20,0.9629164231675011
X->X,14,3,0,0.9616328648158482
X->X,15,3,19,0.9616274918828692
X->X,16,17,4,0.9613589282546725
X->X,17,0,23,0.9612368536846978
X->X,18,0,18,0.9607809484004974
X->X,19,2,14,0.9586678104741233
X->X,20,0,20,0.9584105695996966
S->S,1,11,10,0.9729089135883235
S->S,2,16,3,0.9643080855618004
S->S,3,11,15,0.9602649792903611
S->S,4,3,21,0.9601572982403411
S->S,5,4,23,0.9565109305021142
S->S,6,5,15,0.9564647193716354
S->S,7,3,18,0.9536391606851786
S->S,8,5,9,0.950095477224398
S->S,9,21,12,0.9466400346836121
S->S,10,15,4,0.9463385473780271
S->S,11,23,14,0.946210552664364
S->S,12,20,20,0.9448861434680074
S->S,13,12,3,0.9435284277972054
S->S,14,15,18,0.9421182520249312
S->S,15,14,13,0.9418378837970124
S->S,16,3,20,0.9417346144924644
S->S,17,12,22,0.9415246458614573
S->S,18,22,11,0.9408093620749082
S->S,19,14,5,0.940417902810233
S->S,20,2,20,0.9397468627000055
R1->R1,1,5,15,0.9974851768557765
R1->R1,2,11,10,0.983814043157241
R1->R1,3,23,14,0.982301139030136
R1->R1,4,16,3,0.9764179902918199
R1->R1,5,13,0,0.9677332589606278
R1->R1,6,14,13,0.9671791260983763
R1->R1,7,19,0,0.9667016197653379
R1->R1,8,16,17,0.9645756513130764
R1->R1,9,21,12,0.9644524229674779
R1->R1,10,17,7,0.9636305280092383
R1->R1,11,15,18,0.9592398595409233
R1->R1,12,11,17,0.9590320587158203
R1->R1,13,11,4,0.9572670760274935
R1->R1,14,11,15,0.9566996919006862
R1->R1,15,21,17,0.9556950120364919
R1->R1,16,17,4,0.9538918984036486
R1->R1,17,20,19,0.9537655245356199
R1->R1,18,17,13,0.9516907519653064
R1->R1,19,14,5,0.9514425762561188
R1->R1,20,12,22,0.951263006995706
P->P,1,21,6,0.9939427354506084
P->P,2,12,2,0.9922017880848476
P->P,3,7,13,0.991907828620502
P->P,4,17,4,0.9915978759527206
P->P,5,20,9,0.9910409109933036
P->P,6,13,9,0.9905280470848083
P->P,7,12,4,0.9899672951017108
P->P,8,5,12,0.9856980187552316
P->P,9,20,19,0.984275221824646
P->P,10,22,2,0.9839042616741998
P->P,11,11,16,0.9838730011667524
P->P,12,6,13,0.9837912448814937
P->P,13,21,20,0.9830969614642007
P->P,14,14,5,0.9814573547669819
P->P,15,19,16,0.980441078543663
P->P,16,19,6,0.979656594140189
P->P,17,20,3,0.9791270898921149
P->P,18,17,19,0.978968682033675
P->P,19,23,6,0.9785529885973249
P->P,20,16,20,0.9780427111046655
