edge,mean_light,mean_heavy_slice,abs_diff,rel_diff,pearson,spearman,top5_head_overlap,top10_head_overlap,count
X->S,0.09239181419575794,0.09239181419575794,0.0,0.0,1.0,1.0,1.0,1.0,72
X->R1,0.08527144994392681,0.08527144994392681,0.0,0.0,1.0,1.0,1.0,1.0,72
X->P,0.21037951284031603,0.21037951284031603,0.0,0.0,1.0,1.0,1.0,1.0,72
S->R1,0.11478803569779676,0.11478803569779676,0.0,0.0,1.0,1.0,1.0,1.0,72
R1->S,0.10881297300064487,0.10856099563096863,0.0002519773696762345,0.002315692354759402,0.9997368228001283,0.9991639333719211,1.0,1.0,72
S->X,0.19368168641052214,0.19368168641052214,0.0,0.0,1.0,1.0,1.0,1.0,72
R1->X,0.2249523500966675,0.22470273641759858,0.00024961367906892185,0.0011096291235084086,0.9999910063945013,0.9999035307736834,1.0,1.0,72
X->X,0.6539419573447149,0.6539419573447149,0.0,0.0,1.0,1.0,1.0,1.0,72
S->S,0.5962420344547508,0.5962420344547508,0.0,0.0,0.9999999999999998,1.0,1.0,1.0,72
R1->R1,0.5559722511036918,0.5556761957461538,0.00029605535753796097,0.0005325002407049,0.9999879724687324,0.9997749051385942,1.0,1.0,72
P->P,0.5245271490679847,0.5245271490679847,0.0,0.0,1.0,1.0,1.0,1.0,72
