field,light,heavy,status,note
prompt,,,ok,
seed,0,0,ok,
height,1248,1248,ok,
width,832,832,ok,
num_steps,28,28,ok,
effective_run,"{""first_image_size"": [2048, 3072], ""height_in"": null, ""height_out"": 1248, ""max_size"": 1024, ""multiple_of"": 16, ""rule"": ""scale_down_to_max_size"", ""scale"": 0.408248290463863, ""target_area"": 1048576, ""vae_scale_factor"": 8, ""width_in"": null, ""width_out"": 832}","{""first_image_size"": [2048, 3072], ""height_in"": null, ""height_out"": 1248, ""max_size"": 1024, ""multiple_of"": 16, ""rule"": ""scale_down_to_max_size"", ""scale"": 0.408248290463863, ""target_area"": 1048576, ""vae_scale_factor"": 8, ""width_in"": null, ""width_out"": 832}",ok,
sample_layers,"[0, 4, 14, 24]",all,diff,
sample_heads,"[0, 4, 8, 12, 16, 20]",all,diff,
sample_steps,"[0, 14, 27]",all,diff,
block_size,256,256,ok,
segment_lengths,"{""P"": 512, ""R1"": 4056, ""S"": 4056, ""X"": 4056}","{""P"": 512, ""R1"": 4056, ""S"": 4056, ""X"": 4056}",ok,
q_len,12621,12680,warning,q_len mismatch may indicate max_query_tokens_per_record config drift
k_len,12680,12680,ok,
num_q_blocks,50,50,ok,
num_k_blocks,50,50,ok,
light.attention_blocks_exists,True,True,ok,
light.num_flow_rows_gt0,True,True,ok,
light.num_distribution_rows_gt0,True,True,ok,
heavy.attention_blocks_exists,True,True,ok,
heavy.num_flow_rows_gt0,True,True,ok,
heavy.num_distribution_rows_gt0,True,True,ok,
generated_pixel_l1,0.0,0.0,ok,
generated_pixel_l2,0.0,0.0,ok,
generated_pixel_max_diff,0.0,0.0,ok,
