question,edge,sampled_steps,heavy_early_window,heavy_mid_window,heavy_late_window,assessment,sampled_layers,heavy_top_layers,sampled_heads,heavy_top_layer_heads
step_representativeness,X->R1,"{""0"": 0.11783375866616552, ""14"": 0.10326468851000148, ""27"": 0.053416295518096985}","{""0"": 0.11783375866616552, ""1"": 0.11842189915359388, ""2"": 0.11807196897041043, ""3"": 0.11623627125901596, ""4"": 0.11077321655016324}","{""12"": 0.105670305583335, ""13"": 0.10395859789399159, ""14"": 0.10326468851000148, ""15"": 0.1013488119788235, ""16"": 0.09893393979339939}","{""23"": 0.07556766800407785, ""24"": 0.0712285795995073, ""25"": 0.06587957573821768, ""26"": 0.06102743809882668, ""27"": 0.053416295518096985}",representative,,,,
layer_representativeness,X->R1,,,,,missed_top3,"[0, 4, 14, 24]","[[16, 0.23633620128358807], [19, 0.17515977245160944], [18, 0.16667510127964696], [4, 0.1574321733219438], [20, 0.14974257803571941]]",,
head_representativeness,X->R1,,,,,covered,,,"[0, 4, 8, 12, 16, 20]","[[19, 0, 0.688603652375085], [14, 12, 0.6769130889858518], [20, 1, 0.6582481839827129], [12, 14, 0.6551746853760311], [16, 19, 0.6330645073737416], [5, 15, 0.6047616207173893], [9, 10, 0.5691700843828065], [17, 22, 0.5689847618341446], [16, 8, 0.5689579163278852], [7, 23, 0.5644730659467834]]"
step_representativeness,X->P,"{""0"": 0.2984434678519998, ""14"": 0.2728984231421297, ""27"": 0.27730976631199156}","{""0"": 0.2984434678519998, ""1"": 0.2892326070279038, ""2"": 0.28218557647400305, ""3"": 0.2761017788891331, ""4"": 0.26776293881315116}","{""12"": 0.27243034370903235, ""13"": 0.2730470420895532, ""14"": 0.2728984231421297, ""15"": 0.2723818583688505, ""16"": 0.2717843901870462}","{""23"": 0.27027826572346386, ""24"": 0.2716972990234353, ""25"": 0.27375433247327846, ""26"": 0.27523972977231703, ""27"": 0.27730976631199156}",representative,,,,
layer_representativeness,X->P,,,,,missed_top3,"[0, 4, 14, 24]","[[10, 0.599803971603424], [9, 0.5160293887318057], [15, 0.4055888992124459], [8, 0.37224570766972775], [14, 0.3504709158234099]]",,
head_representativeness,X->P,,,,,covered,,,"[0, 4, 8, 12, 16, 20]","[[12, 17, 0.9893616331475121], [9, 11, 0.9639351921422141], [9, 12, 0.943513714841434], [9, 20, 0.9305487871170044], [15, 17, 0.9233681325401578], [13, 22, 0.9141022967440742], [10, 21, 0.9105038131986346], [5, 20, 0.9080631307193211], [9, 6, 0.9064197795731681], [14, 20, 0.9039970168045589]]"
step_representativeness,X->S,"{""0"": 0.11807212352364635, ""14"": 0.08608628411830675, ""27"": 0.07145003680081573}","{""0"": 0.11807212352364635, ""1"": 0.10928800558234798, ""2"": 0.10370411110401619, ""3"": 0.10152985710083158, ""4"": 0.09774135862115751}","{""12"": 0.08788684964655355, ""13"": 0.0863845328768851, ""14"": 0.08608628411830675, ""15"": 0.08514274113345892, ""16"": 0.08469011345587205}","{""23"": 0.07914981748268474, ""24"": 0.07785048710609166, ""25"": 0.07574274478819765, ""26"": 0.07411741077560388, ""27"": 0.07145003680081573}",representative,,,,
layer_representativeness,X->S,,,,,covered,"[0, 4, 14, 24]","[[4, 0.13036343956177698], [1, 0.12579907319464145], [2, 0.12248145218472928], [7, 0.1117125058725443], [5, 0.11121780310211415]]",,
head_representativeness,X->S,,,,,covered,,,"[0, 4, 8, 12, 16, 20]","[[5, 15, 0.3449679836630821], [3, 15, 0.3433262375848634], [1, 20, 0.3420221635273525], [5, 22, 0.33715929090976715], [2, 16, 0.33647676557302475], [2, 5, 0.3320265848721777], [4, 4, 0.3171495997479984], [2, 19, 0.3082428547952856], [4, 10, 0.3003379074590547], [12, 14, 0.2999159118958882]]"
step_representativeness,S->R1,"{""0"": 0.11747945072401005, ""14"": 0.1057978396114948, ""27"": 0.10730843745351497}","{""0"": 0.11747945072401005, ""1"": 0.11429427566986038, ""2"": 0.11317961321367571, ""3"": 0.11201461710307437, ""4"": 0.10970972190574542}","{""12"": 0.10630154899837377, ""13"": 0.10606126356837979, ""14"": 0.1057978396114948, ""15"": 0.10592806232664004, ""16"": 0.10599507379151571}","{""23"": 0.10571133601983698, ""24"": 0.10558855310561222, ""25"": 0.1063839175645205, ""26"": 0.10727384815319536, ""27"": 0.10730843745351497}",representative,,,,
layer_representativeness,S->R1,,,,,covered,"[0, 4, 14, 24]","[[24, 0.2029176885340394], [23, 0.17944238894666004], [22, 0.17747180136941315], [17, 0.13126802131506232], [10, 0.12235926454237868]]",,
head_representativeness,S->R1,,,,,missed_top10,,,"[0, 4, 8, 12, 16, 20]","[[10, 1, 0.7767044095432057], [10, 22, 0.48215334054802644], [13, 3, 0.4491830558336082], [11, 1, 0.44812373554005347], [22, 3, 0.4243006165288076], [4, 10, 0.41125990362728343], [22, 15, 0.3912188515943639], [23, 4, 0.376935900760298], [24, 7, 0.36632585926216193], [6, 21, 0.35647386863452046]]"
step_representativeness,R1->S,"{""0"": 0.12369564761333487, ""14"": 0.0979512387957263, ""27"": 0.10011978034805745}","{""0"": 0.12369564761333487, ""1"": 0.11652860535310432, ""2"": 0.11164422980455771, ""3"": 0.10946680470336086, ""4"": 0.10591938698603104}","{""12"": 0.09860111083054125, ""13"": 0.09798781892385758, ""14"": 0.0979512387957263, ""15"": 0.09784915172416767, ""16"": 0.09813611355812206}","{""23"": 0.0984480492571282, ""24"": 0.09865992172412327, ""25"": 0.09902186818270232, ""26"": 0.09989161099956939, ""27"": 0.10011978034805745}",representative,,,,
layer_representativeness,R1->S,,,,,covered,"[0, 4, 14, 24]","[[0, 0.16468052354742999], [10, 0.15671983167587558], [1, 0.1424675287779682], [24, 0.13790017992508513], [23, 0.13240212494773523]]",,
head_representativeness,R1->S,,,,,missed_top10,,,"[0, 4, 8, 12, 16, 20]","[[10, 1, 0.8292427403586251], [10, 22, 0.6011978868676835], [1, 3, 0.385261203060631], [10, 9, 0.3634031209625116], [10, 2, 0.31895451185082185], [0, 19, 0.3143682079154904], [6, 21, 0.3065022320306601], [2, 11, 0.29607072197088674], [2, 19, 0.2821054814242515], [0, 15, 0.27439084423690285]]"
step_representativeness,S->X,"{""0"": 0.1349201674489122, ""14"": 0.15444649249534395, ""27"": 0.18754072102444136}","{""0"": 0.1349201674489122, ""1"": 0.13753915475864037, ""2"": 0.1404394340401917, ""3"": 0.14307594644197938, ""4"": 0.1486714183462455}","{""12"": 0.15323618940278594, ""13"": 0.1545639486603585, ""14"": 0.15444649249534395, ""15"": 0.155520598260211, ""16"": 0.15621463360557078}","{""23"": 0.16559578086888674, ""24"": 0.16859005731183524, ""25"": 0.1724026110304483, ""26"": 0.17772418957167105, ""27"": 0.18754072102444136}",representative,,,,
layer_representativeness,S->X,,,,,covered,"[0, 4, 14, 24]","[[24, 0.38824040682188105], [23, 0.24744931024340105], [1, 0.23206566950614127], [0, 0.21443540937885514], [9, 0.19721912452592372]]",,
head_representativeness,S->X,,,,,missed_top10,,,"[0, 4, 8, 12, 16, 20]","[[5, 22, 0.7949647903442383], [8, 5, 0.7923027687713879], [9, 10, 0.6811162303475772], [24, 6, 0.6665487990659826], [24, 10, 0.6313635842138979], [7, 23, 0.6270742616733582], [23, 22, 0.6076928687696698], [23, 18, 0.594919303886029], [1, 16, 0.5900494711739677], [24, 21, 0.5862162614069064]]"
step_representativeness,R1->X,"{""0"": 0.1439393161164423, ""14"": 0.17800748928105367, ""27"": 0.22329956745356777}","{""0"": 0.1439393161164423, ""1"": 0.14846301134299103, ""2"": 0.15275616806632766, ""3"": 0.15563776865683715, ""4"": 0.161733592188981}","{""12"": 0.17596836487627954, ""13"": 0.17788215415814765, ""14"": 0.17800748928105367, ""15"": 0.17960478355829587, ""16"": 0.18062326748223118}","{""23"": 0.19913252762468606, ""24"": 0.20246802996791552, ""25"": 0.206647287580349, ""26"": 0.2122477441925245, ""27"": 0.22329956745356777}",representative,,,,
layer_representativeness,R1->X,,,,,covered,"[0, 4, 14, 24]","[[24, 0.5270220395503696], [23, 0.27561290770787383], [9, 0.2560370191351788], [1, 0.25185649355867595], [5, 0.2185770148434709]]",,
