step,layer,head,mean_entropy,mean_top16_block_mass,dominant_edge,dominant_edge_value
26,16,3,0.04689988459872862,15.54796314239502,X->X,0.976958692073822
25,16,3,0.0472887116127774,15.552163124084473,X->X,0.9762040972709656
24,16,3,0.04784487575505383,15.55355453491211,R1->R1,0.9759922027587891
23,16,3,0.04865237061690278,15.556638717651367,R1->R1,0.9769651749554802
27,16,3,0.04921401771995483,15.527782440185547,X->X,0.975907027721405
22,16,3,0.04929708015672354,15.56287956237793,R1->R1,0.9777071335736442
21,16,3,0.04983301450033073,15.563356399536133,R1->R1,0.9778321210075828
20,16,3,0.050123437321031174,15.56422233581543,R1->R1,0.9779172785141889
19,16,3,0.05051956146668307,15.566689491271973,R1->R1,0.9781372967888328
18,16,3,0.05089703767548109,15.5676908493042,R1->R1,0.9782301958869485
17,16,3,0.051453861926577894,15.568344116210938,R1->R1,0.978301440968233
16,16,3,0.05206754183812628,15.568903923034668,R1->R1,0.9784483068129596
15,16,3,0.05279262309968227,15.565261840820312,R1->R1,0.9783673005945542
14,16,3,0.053825359810645686,15.561651229858398,R1->R1,0.9783108655144187
13,16,3,0.05474399114628536,15.557924270629883,R1->R1,0.9782497181611902
12,16,3,0.05547550135396862,15.554070472717285,R1->R1,0.9780864715576172
11,16,3,0.0558458316286506,15.550009727478027,R1->R1,0.9779204200295841
10,16,3,0.05640435107002197,15.547243118286133,R1->R1,0.9777352950152229
9,16,3,0.057023027002531874,15.541498184204102,R1->R1,0.9774904812083525
26,20,19,0.05720146454029826,12.780374526977539,P->P,0.9931356310844421
