edge_key,layer,head,decision,confidence,rationale,recommended_density_pct,expected_retained_mass,must_be_dense_steps,block_size_limitation
P->P,0,0,SPARSE,0.6000000000000001,SPARSE: segment_mass_dominance=0.535; peak_in_small_segment=0.367; stability=0.98>=0.5,0.5,0.3666946197174028,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->X,0,0,DENSE,0.5,DENSE: entropy=0.99>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->S,0,0,DENSE,0.5,DENSE: entropy=0.92>0.7; many_blocks_above_0.01=32,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->R1,0,0,DENSE,0.5,DENSE: entropy=0.98>0.7; many_blocks_above_0.01=33,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->P,0,0,DENSE,0.3333333333333333,DENSE: entropy=0.88>0.7,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->X,0,0,SPARSE,0.95,SPARSE: segment_dominant=0.837>0.80,0.0,0.0,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->S,0,0,SPARSE,0.6666666666666666,SPARSE: concentration=0.73>=0.6; strong_peak=0.437; stability=0.94>=0.5,0.0,0.045558867398007165,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->R1,0,0,SPARSE,0.9,SPARSE: segment_skip=0.0125<0.03,0.0,0.0,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->P,0,0,DENSE,0.5,DENSE: entropy=0.98>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,0,0,DENSE,0.5,DENSE: entropy=0.76>0.7; many_blocks_above_0.01=30,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->S,0,0,DENSE,0.5,DENSE: entropy=0.80>0.7; many_blocks_above_0.01=33,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
