layer,head,dense_edges,total_edges,ratio
0,0,11,16,0.6875
0,3,9,16,0.5625
0,4,14,16,0.875
0,9,11,16,0.6875
0,10,12,16,0.75
0,13,14,16,0.875
0,14,9,16,0.5625
0,16,11,16,0.6875
0,17,13,16,0.8125
0,21,10,16,0.625
0,22,8,16,0.5
1,0,9,16,0.5625
1,1,11,16,0.6875
1,3,13,16,0.8125
1,4,9,16,0.5625
1,5,8,16,0.5
1,6,8,16,0.5
1,7,13,16,0.8125
1,9,13,16,0.8125
1,10,10,16,0.625
1,11,13,16,0.8125
1,12,10,16,0.625
1,13,10,16,0.625
1,14,11,16,0.6875
1,15,11,16,0.6875
1,16,12,16,0.75
1,18,11,16,0.6875
1,19,8,16,0.5
1,20,13,16,0.8125
1,22,9,16,0.5625
1,23,8,16,0.5
2,1,10,16,0.625
2,5,11,16,0.6875
2,8,13,16,0.8125
2,10,9,16,0.5625
2,11,13,16,0.8125
2,12,12,16,0.75
2,13,10,16,0.625
2,16,12,16,0.75
2,19,14,16,0.875
3,2,9,16,0.5625
3,4,13,16,0.8125
3,6,9,16,0.5625
3,7,8,16,0.5
3,12,11,16,0.6875
3,15,8,16,0.5
3,23,8,16,0.5
4,1,16,16,1.0
4,2,9,16,0.5625
4,6,8,16,0.5
4,7,8,16,0.5
4,10,11,16,0.6875
4,11,12,16,0.75
4,13,9,16,0.5625
4,14,14,16,0.875
4,19,10,16,0.625
4,22,8,16,0.5
5,1,11,16,0.6875
5,3,14,16,0.875
5,4,9,16,0.5625
5,5,10,16,0.625
5,6,10,16,0.625
5,10,11,16,0.6875
5,11,9,16,0.5625
5,13,15,16,0.9375
5,14,10,16,0.625
5,16,15,16,0.9375
5,21,13,16,0.8125
5,22,8,16,0.5
5,23,10,16,0.625
6,0,9,16,0.5625
6,1,8,16,0.5
6,2,15,16,0.9375
6,4,10,16,0.625
6,5,8,16,0.5
6,6,11,16,0.6875
6,7,10,16,0.625
6,9,13,16,0.8125
6,10,10,16,0.625
6,12,10,16,0.625
6,13,8,16,0.5
6,15,8,16,0.5
6,16,8,16,0.5
6,19,9,16,0.5625
6,20,14,16,0.875
6,21,15,16,0.9375
6,23,15,16,0.9375
7,1,10,16,0.625
7,2,13,16,0.8125
7,4,9,16,0.5625
7,6,11,16,0.6875
7,7,10,16,0.625
7,8,13,16,0.8125
7,11,15,16,0.9375
7,12,15,16,0.9375
7,14,14,16,0.875
7,15,12,16,0.75
7,16,12,16,0.75
7,19,9,16,0.5625
7,20,14,16,0.875
7,21,11,16,0.6875
7,22,9,16,0.5625
8,0,12,16,0.75
8,4,12,16,0.75
8,5,12,16,0.75
8,6,11,16,0.6875
8,7,11,16,0.6875
8,8,14,16,0.875
8,9,15,16,0.9375
8,10,15,16,0.9375
8,11,12,16,0.75
8,12,13,16,0.8125
8,13,11,16,0.6875
8,17,11,16,0.6875
8,18,14,16,0.875
8,19,12,16,0.75
8,21,15,16,0.9375
8,22,11,16,0.6875
8,23,12,16,0.75
9,0,13,16,0.8125
9,1,11,16,0.6875
9,2,15,16,0.9375
9,3,12,16,0.75
9,4,8,16,0.5
9,5,10,16,0.625
9,7,8,16,0.5
9,8,14,16,0.875
9,9,13,16,0.8125
9,13,12,16,0.75
9,14,12,16,0.75
9,15,13,16,0.8125
9,17,15,16,0.9375
9,18,15,16,0.9375
9,21,11,16,0.6875
9,23,12,16,0.75
10,0,8,16,0.5
10,1,11,16,0.6875
10,2,15,16,0.9375
10,3,10,16,0.625
10,5,14,16,0.875
10,6,15,16,0.9375
10,7,8,16,0.5
10,8,15,16,0.9375
10,9,9,16,0.5625
10,11,8,16,0.5
10,13,13,16,0.8125
10,15,14,16,0.875
10,16,11,16,0.6875
10,17,10,16,0.625
10,22,14,16,0.875
10,23,10,16,0.625
11,1,14,16,0.875
11,20,8,16,0.5
11,22,10,16,0.625
12,0,13,16,0.8125
12,6,10,16,0.625
12,7,11,16,0.6875
12,8,12,16,0.75
12,9,10,16,0.625
12,10,10,16,0.625
12,12,11,16,0.6875
12,13,9,16,0.5625
12,19,15,16,0.9375
12,21,14,16,0.875
13,3,15,16,0.9375
13,4,8,16,0.5
13,6,14,16,0.875
13,11,14,16,0.875
13,14,8,16,0.5
13,15,11,16,0.6875
13,16,11,16,0.6875
13,17,11,16,0.6875
13,18,13,16,0.8125
13,21,14,16,0.875
14,0,8,16,0.5
14,1,9,16,0.5625
14,2,14,16,0.875
14,3,13,16,0.8125
14,4,11,16,0.6875
14,7,11,16,0.6875
14,8,12,16,0.75
14,11,10,16,0.625
14,12,8,16,0.5
14,14,10,16,0.625
14,16,12,16,0.75
14,19,9,16,0.5625
14,20,8,16,0.5
15,3,8,16,0.5
15,5,8,16,0.5
15,6,12,16,0.75
15,7,9,16,0.5625
15,9,8,16,0.5
15,10,9,16,0.5625
15,11,8,16,0.5
15,12,9,16,0.5625
15,16,11,16,0.6875
15,17,9,16,0.5625
15,19,9,16,0.5625
15,22,8,16,0.5
16,0,12,16,0.75
16,7,9,16,0.5625
16,8,8,16,0.5
16,9,9,16,0.5625
16,10,8,16,0.5
