edge_key,layer,head,decision,confidence,rationale,recommended_density_pct,expected_retained_mass,must_be_dense_steps,block_size_limitation
P->X,0,0,DENSE,0.5,DENSE: entropy=0.99>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->S,0,0,DENSE,0.5,DENSE: entropy=0.92>0.7; many_blocks_above_0.01=32,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->R1,0,0,DENSE,0.5,DENSE: entropy=0.98>0.7; many_blocks_above_0.01=33,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->P,0,0,DENSE,0.3333333333333333,DENSE: entropy=0.88>0.7,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->P,0,0,DENSE,0.5,DENSE: entropy=0.98>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,0,0,DENSE,0.5,DENSE: entropy=0.76>0.7; many_blocks_above_0.01=30,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->S,0,0,DENSE,0.5,DENSE: entropy=0.80>0.7; many_blocks_above_0.01=33,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->P,0,0,DENSE,0.5,DENSE: entropy=0.98>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->X,0,0,DENSE,0.5,DENSE: entropy=0.78>0.7; many_blocks_above_0.01=29,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->S,0,0,DENSE,0.5,DENSE: entropy=0.79>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->R1,0,0,DENSE,0.5,DENSE: entropy=0.85>0.7; many_blocks_above_0.01=31,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->P,0,1,DENSE,0.3333333333333333,DENSE: entropy=0.85>0.7,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->X,0,1,DENSE,0.5,DENSE: entropy=0.96>0.7; many_blocks_above_0.01=30,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->S,0,1,DENSE,0.5,DENSE: entropy=0.95>0.7; many_blocks_above_0.01=33,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->R1,0,1,DENSE,0.5,DENSE: entropy=0.96>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->P,0,1,DENSE,0.5,DENSE: entropy=0.94>0.7; many_blocks_above_0.01=29,,,"[22, 23, 24]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->P,0,2,DENSE,0.3333333333333333,DENSE: entropy=0.98>0.7,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->X,0,2,DENSE,0.5,DENSE: entropy=0.96>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->S,0,2,DENSE,0.5,DENSE: entropy=0.89>0.7; many_blocks_above_0.01=34,,,"[0, 22, 23, 24, 25, 26, 27]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->R1,0,2,DENSE,0.5,DENSE: entropy=0.96>0.7; many_blocks_above_0.01=33,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->X,0,3,DENSE,0.5,DENSE: entropy=0.90>0.7; many_blocks_above_0.01=29,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->S,0,3,DENSE,0.5,DENSE: entropy=0.94>0.7; many_blocks_above_0.01=30,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->R1,0,3,DENSE,0.5,DENSE: entropy=0.92>0.7; many_blocks_above_0.01=30,,,"[22, 23, 25]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->P,0,3,DENSE,0.5,DENSE: entropy=0.95>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,0,3,DENSE,0.5,DENSE: entropy=0.81>0.7; many_blocks_above_0.01=33,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->S,0,3,DENSE,0.5,DENSE: entropy=0.82>0.7; many_blocks_above_0.01=33,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->X,0,3,DENSE,0.5,DENSE: entropy=0.81>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->S,0,3,DENSE,0.5,DENSE: entropy=0.82>0.7; many_blocks_above_0.01=36,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->R1,0,3,DENSE,0.7666666666666666,DENSE: entropy=0.85>0.7; max_block=0.027<0.03; many_blocks_above_0.01=31,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->X,0,4,DENSE,0.5,DENSE: entropy=0.92>0.7; many_blocks_above_0.01=28,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->S,0,4,DENSE,0.5,DENSE: entropy=0.96>0.7; many_blocks_above_0.01=32,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->R1,0,4,DENSE,0.5,DENSE: entropy=0.94>0.7; many_blocks_above_0.01=31,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->P,0,4,DENSE,0.5,DENSE: entropy=0.88>0.7; many_blocks_above_0.01=22,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->X,0,4,DENSE,0.6,DENSE: entropy=0.93>0.7; max_block=0.020<0.03,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->R1,0,4,DENSE,0.6,DENSE: entropy=0.95>0.7; max_block=0.016<0.03,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->P,0,4,DENSE,0.5,DENSE: entropy=0.89>0.7; many_blocks_above_0.01=24,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,0,4,DENSE,0.3333333333333333,DENSE: entropy=0.92>0.7,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->S,0,4,DENSE,0.6,DENSE: entropy=0.93>0.7; max_block=0.015<0.03,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->R1,0,4,DENSE,0.3333333333333333,DENSE: entropy=0.82>0.7,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->P,0,4,DENSE,0.5,DENSE: entropy=0.86>0.7; many_blocks_above_0.01=21,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->X,0,4,DENSE,0.6,DENSE: entropy=0.93>0.7; max_block=0.017<0.03,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->S,0,4,DENSE,0.7666666666666666,DENSE: entropy=0.91>0.7; max_block=0.026<0.03; many_blocks_above_0.01=20,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->R1,0,4,DENSE,0.7666666666666666,DENSE: entropy=0.93>0.7; max_block=0.018<0.03; many_blocks_above_0.01=20,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->X,0,5,DENSE,0.5,DENSE: entropy=0.91>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->S,0,5,DENSE,0.5,DENSE: entropy=0.93>0.7; many_blocks_above_0.01=34,,,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->R1,0,5,DENSE,0.5,DENSE: entropy=0.94>0.7; many_blocks_above_0.01=34,,,"[7, 9, 11, 14, 15, 17, 18, 19, 20]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->P,0,6,DENSE,0.3333333333333333,DENSE: entropy=0.89>0.7,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->X,0,6,DENSE,0.5,DENSE: entropy=0.99>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->S,0,6,DENSE,0.5,DENSE: entropy=0.94>0.7; many_blocks_above_0.01=34,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->R1,0,6,DENSE,0.5,DENSE: entropy=0.99>0.7; many_blocks_above_0.01=34,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->P,0,6,DENSE,0.3333333333333333,DENSE: entropy=0.80>0.7,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->P,0,6,DENSE,0.3333333333333333,DENSE: entropy=0.76>0.7,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->P,0,7,DENSE,0.3333333333333333,DENSE: entropy=0.95>0.7,,,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->X,0,7,DENSE,0.5,DENSE: entropy=1.00>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->P,0,7,DENSE,0.5,DENSE: entropy=0.95>0.7; many_blocks_above_0.01=30,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->P,0,7,DENSE,0.5,DENSE: entropy=0.99>0.7; many_blocks_above_0.01=33,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,0,7,DENSE,0.3333333333333333,DENSE: entropy=0.85>0.7,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->P,0,7,DENSE,0.5,DENSE: entropy=0.98>0.7; many_blocks_above_0.01=34,,,"[26, 27]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->S,0,7,DENSE,0.7666666666666666,DENSE: entropy=0.87>0.7; max_block=0.027<0.03; many_blocks_above_0.01=31,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->P,0,8,DENSE,0.3333333333333333,DENSE: entropy=0.98>0.7,,,"[22, 23, 25]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->X,0,8,DENSE,0.5,DENSE: entropy=0.97>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->S,0,8,DENSE,0.5,DENSE: entropy=0.94>0.7; many_blocks_above_0.01=34,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->R1,0,8,DENSE,0.5,DENSE: entropy=0.97>0.7; many_blocks_above_0.01=33,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->P,0,8,DENSE,0.5,DENSE: entropy=0.95>0.7; many_blocks_above_0.01=31,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->P,0,8,DENSE,0.5,DENSE: entropy=0.99>0.7; many_blocks_above_0.01=33,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->P,0,8,DENSE,0.5,DENSE: entropy=0.97>0.7; many_blocks_above_0.01=34,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->P,0,9,DENSE,0.3333333333333333,DENSE: entropy=0.89>0.7,,,"[26, 27]",block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->X,0,9,DENSE,0.5,DENSE: entropy=0.96>0.7; many_blocks_above_0.01=32,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->S,0,9,DENSE,0.5,DENSE: entropy=0.97>0.7; many_blocks_above_0.01=34,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->R1,0,9,DENSE,0.5,DENSE: entropy=0.97>0.7; many_blocks_above_0.01=34,,,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
