edge_key,layer,head,decision,confidence,rationale,recommended_density_pct,expected_retained_mass,must_be_dense_steps,block_size_limitation
X->S,1,1,FALLBACK,0.5,FALLBACK: step_var=0.32>0.3; moderate_concentration=0.38,15.0,0.5404775896008903,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->S,1,10,FALLBACK,0.5,FALLBACK: step_var=0.40>0.3; moderate_concentration=0.43,15.0,0.5951663946700948,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->S,1,11,FALLBACK,0.5,FALLBACK: step_var=0.34>0.3; moderate_concentration=0.51,15.0,0.6817135589676884,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->S,1,18,FALLBACK,0.5,FALLBACK: step_var=0.38>0.3; moderate_concentration=0.45,15.0,0.6097203338886953,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->P,3,11,FALLBACK,0.6666666666666666,FALLBACK: step_var=0.31>0.3; mid_entropy=0.62; moderate_concentration=0.52,15.0,0.7693163814877699,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->P,4,15,FALLBACK,0.6666666666666666,FALLBACK: step_var=0.37>0.3; mid_entropy=0.69; moderate_concentration=0.41,15.0,0.633918835576718,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,4,18,FALLBACK,0.5,FALLBACK: step_var=0.31>0.3; moderate_concentration=0.41,15.0,0.55999883341094,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->S,5,7,FALLBACK,0.5,FALLBACK: step_var=0.36>0.3; moderate_concentration=0.43,15.0,0.5852718212631737,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,10,0,FALLBACK,0.5,FALLBACK: step_var=0.38>0.3; moderate_concentration=0.39,15.0,0.5543330547524156,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->S,10,0,FALLBACK,0.5,FALLBACK: step_var=0.30>0.3; moderate_concentration=0.49,15.0,0.6495218742409535,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,10,18,FALLBACK,0.5,FALLBACK: step_var=0.48>0.3; moderate_concentration=0.30,15.0,0.46863398804106093,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->R1,11,22,FALLBACK,0.5,FALLBACK: step_var=0.36>0.3; moderate_concentration=0.49,15.0,0.6417631911486261,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->S,13,16,FALLBACK,0.5,FALLBACK: step_var=0.44>0.3; moderate_concentration=0.55,15.0,0.7180595162264553,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->S,14,8,FALLBACK,0.5,FALLBACK: step_var=0.31>0.3; moderate_concentration=0.46,15.0,0.6118574860842164,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->P,14,21,FALLBACK,0.5,FALLBACK: step_var=0.72>0.3; moderate_concentration=0.31,15.0,0.5061920983304719,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->R1,15,7,FALLBACK,0.5,FALLBACK: step_var=0.35>0.3; moderate_concentration=0.52,15.0,0.6644719965420849,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->S,15,11,FALLBACK,0.5,FALLBACK: step_var=0.51>0.3; moderate_concentration=0.41,15.0,0.5783644467986258,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
X->S,17,10,FALLBACK,0.5,FALLBACK: step_var=0.50>0.3; moderate_concentration=0.51,15.0,0.6699728235072241,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
R1->S,17,10,FALLBACK,0.5,FALLBACK: step_var=0.40>0.3; moderate_concentration=0.39,15.0,0.5468129883947908,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
P->S,17,23,FALLBACK,0.5,FALLBACK: step_var=0.31>0.3; moderate_concentration=0.30,15.0,0.5065915536310154,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->S,18,2,FALLBACK,0.5,FALLBACK: step_var=0.35>0.3; moderate_concentration=0.45,15.0,0.6187862643139564,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,20,0,FALLBACK,0.5,FALLBACK: step_var=0.35>0.3; moderate_concentration=0.40,15.0,0.5668323118096243,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,22,6,FALLBACK,0.5,FALLBACK: step_var=0.31>0.3; moderate_concentration=0.40,15.0,0.548867608475568,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,22,21,FALLBACK,0.5,FALLBACK: step_var=0.40>0.3; moderate_concentration=0.36,15.0,0.5209990543736763,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
S->X,24,9,FALLBACK,0.5,FALLBACK: step_var=0.30>0.3; moderate_concentration=0.45,15.0,0.6164490431768135,,block_size=256 spans ~4.9 token rows; cannot resolve sub-block spatial detail
