step,layer,head,edge,light,heavy_slice,abs_diff,rel_diff
0,0,0,P->P,0.35915815830230713,0.35915815830230713,0.0,0.0
0,0,0,P->R1,0.04354735463857651,0.04354735463857651,0.0,0.0
0,0,0,P->S,0.09913897514343262,0.09913897514343262,0.0,0.0
0,0,0,P->X,0.5197818875312805,0.5197818875312805,0.0,0.0
0,0,0,R1->P,0.4611179127412684,0.4610450408037971,7.287193747129717e-05,0.00015803319597385788
0,0,0,R1->R1,0.2066043404971852,0.2067738140330595,0.0001694735358742927,0.0008202806168856923
0,0,0,R1->S,0.1319445301504696,0.13314693114336798,0.001202400992898367,0.00911292792150723
0,0,0,R1->X,0.2246837615966797,0.22501729516422048,0.0003335335675407891,0.0014844578227219691
0,0,0,S->P,0.5672211366541245,0.5672211366541245,0.0,0.0
0,0,0,S->R1,0.015099504414726706,0.015099504414726706,0.0,0.0
0,0,0,S->S,0.2285905024584602,0.2285905024584602,0.0,0.0
0,0,0,S->X,0.2179554911220775,0.2179554911220775,0.0,0.0
0,0,0,X->P,0.1593295931816101,0.1593295931816101,0.0,0.0
0,0,0,X->R1,0.010767145082354546,0.010767145082354546,0.0,0.0
0,0,0,X->S,0.036734625697135925,0.036734625697135925,0.0,0.0
0,0,0,X->X,0.8151265382766724,0.8151265382766724,0.0,0.0
0,0,4,P->P,0.3397030234336853,0.3397030234336853,0.0,0.0
0,0,4,P->R1,0.11380498856306076,0.11380498856306076,0.0,0.0
0,0,4,P->S,0.11002431809902191,0.11002431809902191,0.0,0.0
0,0,4,P->X,0.45460763573646545,0.45460763573646545,0.0,0.0
0,0,4,R1->P,0.12019658088684082,0.12080783002516803,0.0006112491383272051,0.005085412029337724
0,0,4,R1->R1,0.5472703821518842,0.5471619998707491,0.00010838228113507764,0.00019804156166631042
0,0,4,R1->S,0.16205599728752584,0.1614540885476505,0.0006019087398753398,0.00371420218905821
0,0,4,R1->X,0.21874091204474955,0.2184622427996467,0.0002786692451028361,0.0012739694760247984
0,0,4,S->P,0.18122264918159037,0.18122264918159037,0.0,0.0
0,0,4,S->R1,0.10543333782869227,0.10543333782869227,0.0,0.0
0,0,4,S->S,0.6328728619743796,0.6328728619743796,0.0,0.0
0,0,4,S->X,0.13960975759169636,0.13960975759169636,0.0,0.0
0,0,4,X->P,0.14553970098495483,0.14553970098495483,0.0,0.0
0,0,4,X->R1,0.041329823434352875,0.041329823434352875,0.0,0.0
0,0,4,X->S,0.14613904058933258,0.14613904058933258,0.0,0.0
0,0,4,X->X,0.7758901119232178,0.7758901119232178,0.0,0.0
0,0,8,P->P,0.21620559692382812,0.21620559692382812,0.0,0.0
0,0,8,P->R1,0.054996900260448456,0.054996900260448456,0.0,0.0
0,0,8,P->S,0.12044530361890793,0.12044530361890793,0.0,0.0
0,0,8,P->X,0.6352408528327942,0.6352408528327942,0.0,0.0
0,0,8,R1->P,0.2959910000071806,0.3031240631552303,0.007133063148049734,0.024098919047797703
0,0,8,R1->R1,0.4736870597390568,0.46906443203196807,0.004622627707088711,0.009758822015605007
0,0,8,R1->S,0.113267323550056,0.10910219304701861,0.0041651305030373925,0.03677256928558663
0,0,8,R1->X,0.15497293191797593,0.15218032107633703,0.0027926108416388984,0.01801999102086403
0,0,8,S->P,0.45867199056288777,0.45867199056288777,0.0,0.0
0,0,8,S->R1,0.039781991173239314,0.039781991173239314,0.0,0.0
0,0,8,S->S,0.4553474257974064,0.4553474257974064,0.0,0.0
0,0,8,S->X,0.11191912959603702,0.11191912959603702,0.0,0.0
0,0,8,X->P,0.05318990722298622,0.05318990722298622,0.0,0.0
0,0,8,X->R1,0.009199232794344425,0.009199232794344425,0.0,0.0
0,0,8,X->S,0.06908521801233292,0.06908521801233292,0.0,0.0
0,0,8,X->X,0.9266421794891357,0.9266421794891357,0.0,0.0
0,0,12,P->P,0.7311936616897583,0.7311936616897583,0.0,0.0
0,0,12,P->R1,0.05831831693649292,0.05831831693649292,0.0,0.0
0,0,12,P->S,0.07287092506885529,0.07287092506885529,0.0,0.0
0,0,12,P->X,0.14731797575950623,0.14731797575950623,0.0,0.0
0,0,12,R1->P,0.0017645490520140704,0.0017705182818805471,5.9692298664767475e-06,0.003382864227924648
0,0,12,R1->R1,0.5884403340956744,0.5888722924625173,0.00043195836684284394,0.0007340733491810775
0,0,12,R1->S,0.23070447585161993,0.2311554375816794,0.00045096173005945706,0.001954715999309428
0,0,12,R1->X,0.25213998906752644,0.25173111522898955,0.00040887383853688286,0.0016216144057473606
0,0,12,S->P,0.0020728106884395376,0.0020728106884395376,0.0,0.0
0,0,12,S->R1,0.06335506018470316,0.06335506018470316,0.0,0.0
0,0,12,S->S,0.7363071441650391,0.7363071441650391,0.0,0.0
0,0,12,S->X,0.2994525011848001,0.2994525011848001,0.0,0.0
0,0,12,X->P,0.002197553403675556,0.002197553403675556,0.0,0.0
0,0,12,X->R1,0.00969451479613781,0.00969451479613781,0.0,0.0
0,0,12,X->S,0.0738515704870224,0.0738515704870224,0.0,0.0
0,0,12,X->X,0.9703437089920044,0.9703437089920044,0.0,0.0
0,0,16,P->P,0.17815867066383362,0.17815867066383362,0.0,0.0
0,0,16,P->R1,0.06901805102825165,0.06901805102825165,0.0,0.0
0,0,16,P->S,0.07189742475748062,0.07189742475748062,0.0,0.0
0,0,16,P->X,0.6993094086647034,0.6993094086647034,0.0,0.0
0,0,16,R1->P,0.46262219372917623,0.46482470456291647,0.0022025108337402344,0.00476092773670432
0,0,16,R1->R1,0.4081403788398294,0.40640982459573183,0.0017305542440975707,0.004240095648014061
0,0,16,R1->S,0.058685471029842604,0.05813917692969827,0.000546294100144333,0.0093088474976461
0,0,16,R1->X,0.08507386375876035,0.08468462439144359,0.0003892393673167599,0.004575310796045496
0,0,16,S->P,0.5684279834522921,0.5684279834522921,0.0,0.0
0,0,16,S->R1,0.03282004945418414,0.03282004945418414,0.0,0.0
0,0,16,S->S,0.36222110075109143,0.36222110075109143,0.0,0.0
0,0,16,S->X,0.0765776143354528,0.0765776143354528,0.0,0.0
0,0,16,X->P,0.08255964517593384,0.08255964517593384,0.0,0.0
0,0,16,X->R1,0.012366639450192451,0.012366639450192451,0.0,0.0
0,0,16,X->S,0.09606218338012695,0.09606218338012695,0.0,0.0
0,0,16,X->X,0.8909775018692017,0.8909775018692017,0.0,0.0
