layer,edge,mean,std,max
0,X->S,0.08023081469305214,0.025922395033723705,0.1552196443080902
0,X->R1,0.025943447547130443,0.02128107118298284,0.11546064913272858
0,X->P,0.07432917149756013,0.11214804070671915,0.5864412784576416
0,S->R1,0.06276738089548439,0.031622075262716605,0.18199651381548712
0,R1->S,0.16468052354742999,0.07246746523859036,0.34432775834027457
0,S->X,0.21443540937885514,0.10945097811204271,0.542399013743681
0,R1->X,0.15710608928310438,0.0980305212492297,0.39757004906149473
0,X->X,0.8685765885304482,0.14459001567819954,0.9824923276901245
0,S->S,0.6196396984472996,0.1886154136788852,0.9236279094920439
0,R1->R1,0.6178684361091181,0.20962320124710235,0.9009158751543831
0,P->P,0.27761777446167324,0.19627642472910173,0.734355092048645
1,X->S,0.12579907319464145,0.07856404851532697,0.5496078729629517
1,X->R1,0.060925125413632486,0.06167963130806924,0.36447376012802124
1,X->P,0.20438583886079004,0.15442087836666607,0.7487819194793701
1,S->R1,0.09114838157641797,0.04774065155563763,0.34685735141529755
1,R1->S,0.14246752877796823,0.07618382885341306,0.5224239685956169
1,S->X,0.2320656695061413,0.15262311087160868,0.6838708204381606
1,R1->X,0.25185649355867595,0.1857528082487518,0.6686853521010455
1,X->X,0.6518695027057436,0.17929567383332257,0.9282500147819519
1,S->S,0.5864405400248203,0.25488214190167574,0.9155938204597024
1,R1->R1,0.49716345491612507,0.27313511371198607,0.9195034363690544
1,P->P,0.6562393302364009,0.16764096554635216,0.9242545962333679
2,X->S,0.12248145218472928,0.10180435754158135,0.5967884063720703
2,X->R1,0.07789966869919833,0.10775187083310282,0.45379677414894104
2,X->P,0.07140005643001739,0.10467042437992849,0.4610743224620819
2,S->R1,0.10598017703689615,0.04797558372535921,0.377530013813692
2,R1->S,0.11721263748152748,0.06032566663113739,0.38298337599810434
2,S->X,0.18069232201741106,0.14833593549671303,0.6611210879157571
2,R1->X,0.16867809174373663,0.19316214062916656,0.7611033495734719
2,X->X,0.7748650211946196,0.25139223098826635,0.980242133140564
2,S->S,0.7315655487383447,0.22879397111278593,0.9508990119485294
2,R1->R1,0.6963077691443661,0.273991544102398,0.9641856025247013
2,P->P,0.6555593330413103,0.22532926056008437,0.9735309481620789
3,X->S,0.08852675436563524,0.07582707334903543,0.5850672721862793
3,X->R1,0.06446304671927854,0.12181989996040395,0.5321940183639526
3,X->P,0.10097836565506398,0.11439520037546862,0.6299434900283813
3,S->R1,0.08706831365961684,0.05529040840774328,0.3452593859504251
3,R1->S,0.08756807247443633,0.03503342615830358,0.3271298128015855
3,S->X,0.09463735042708595,0.05438634149830671,0.3674909647773294
3,R1->X,0.0705109801325531,0.07144538511848512,0.42276862088371725
3,X->X,0.791143572262843,0.2069427122699885,0.9891172051429749
3,S->S,0.7767012316253589,0.24976879103507155,0.9761342441334444
3,R1->R1,0.7753690874871879,0.24418079014369334,0.969908545998966
3,P->P,0.7375082343018481,0.1743418362354996,0.959100067615509
4,X->S,0.13036343956177698,0.08877031459891267,0.577630877494812
4,X->R1,0.1574321733219438,0.1576223168550778,0.6399483680725098
4,X->P,0.12068730964633037,0.12803562738141439,0.7919574975967407
4,S->R1,0.1183724073427064,0.07617391029180429,0.4540709327248966
4,R1->S,0.10298156884892815,0.04729173972400572,0.38450414994183707
4,S->X,0.10489545720668525,0.06586932886192673,0.4655027389526367
4,R1->X,0.0925914738118565,0.08270154768518996,0.5462049596449908
4,X->X,0.6293127859743046,0.242554598209649,0.953108012676239
4,S->S,0.761753932121588,0.1985821013934387,0.9729254105511833
4,R1->R1,0.7854617454257665,0.16239334685609774,0.9734416288488051
4,P->P,0.8461827957182235,0.2117309189435933,0.9788695573806763
5,X->S,0.11121780310211415,0.10035798880073912,0.6798987984657288
5,X->R1,0.09934824104103816,0.15549470865824916,0.6658803224563599
5,X->P,0.31509430344089023,0.25068923549334193,0.9310253858566284
5,S->R1,0.0701318538419352,0.050650604508239085,0.2051539421081543
5,R1->S,0.09765146353023768,0.05364563623966662,0.36682356105131264
5,S->X,0.1849787475408188,0.17202915068809957,0.8602496876436121
5,R1->X,0.21857701484347083,0.22325485613591028,0.9564904605641085
5,X->X,0.5041985820391259,0.23352341787444802,0.8887499570846558
5,S->S,0.500700100118957,0.310552823021469,0.970404681037454
5,R1->R1,0.4783714396594724,0.32108005291676517,0.9982619566075942
5,P->P,0.5925567883865109,0.3034519051503522,0.9898626208305359
6,X->S,0.09768053420841516,0.062210336642440696,0.5213067531585693
6,X->R1,0.08145323716841328,0.0982021921893108,0.5530751347541809
6,X->P,0.2361212062255834,0.17521693347819614,0.758648157119751
6,S->R1,0.10065009301470941,0.06710946886799193,0.4066445687237908
6,R1->S,0.09672729979094419,0.05671600989490891,0.49697169135598573
6,S->X,0.1395210039068838,0.09610736961696545,0.5335896435905906
6,R1->X,0.16256847160187465,0.15445027684128693,0.6998015011058134
6,X->X,0.6229330099553668,0.19429199523957924,0.9138460159301758
6,S->S,0.6416277774617452,0.2210144326694876,0.9352646995993221
6,R1->R1,0.6275771531988593,0.22743176142965904,0.9590907377355239
6,P->P,0.545158373724137,0.26955407153516536,0.9881402850151062
7,X->S,0.1117125058725443,0.07577010307727204,0.5769832134246826
7,X->R1,0.12453654893622679,0.12873286595271036,0.6200610399246216
7,X->P,0.2788621632685785,0.22206055897204285,0.9013088941574097
7,S->R1,0.11379338412986502,0.06619771710042778,0.32768524394315834
7,R1->S,0.10301867013938036,0.05591125076494463,0.39301086874569163
7,S->X,0.16501158241349526,0.133926863514779,0.7388746598187614
7,R1->X,0.19299588248222357,0.19597574301861406,0.9204279955695657
7,X->X,0.5183833053978604,0.21806997982027249,0.8936200141906738
7,S->S,0.5497511909017209,0.2533798249432524,0.9379125482895795
7,R1->R1,0.5254069874610972,0.28188942431681874,0.9477404426125919
7,P->P,0.5698970793524668,0.2538479116901897,0.9932221174240112
8,X->S,0.0888405586031565,0.06679569420561185,0.5793860554695129
8,X->R1,0.09685590268678165,0.11241430712848578,0.5412195324897766
8,X->P,0.37224570766972775,0.23132874708950837,0.9101457595825195
8,S->R1,0.09678838556992406,0.05575985785147433,0.270875566145953
8,R1->S,0.09343977300163243,0.05101043491717614,0.3605192408842199
8,S->X,0.16669189766654616,0.148937127766702,0.8217568678014419
8,R1->X,0.19560964803827052,0.17877264684255448,0.8694804135490867
8,X->X,0.4698079866135404,0.19515711373270628,0.9021766781806946
8,S->S,0.47310440783605434,0.2673367722675133,0.9276527516982135
8,R1->R1,0.45943893071691866,0.25897077542606417,0.9483943266027114
8,P->P,0.5870522828772664,0.2374874059050251,0.980358362197876
9,X->S,0.07962249466315068,0.07808580776503196,0.5358039140701294
9,X->R1,0.067883474935765,0.11613010292906656,0.6332814693450928
9,X->P,0.5160293887318057,0.2925409000044287,0.9794926643371582
9,S->R1,0.06578463454225283,0.055749204968785895,0.2652314129997702
9,R1->S,0.07565822307191901,0.060713476868256316,0.3073249143712661
9,S->X,0.1972191245259237,0.17734107206134256,0.768118746140424
9,R1->X,0.2560370191351788,0.24253917643568465,0.9305989882525276
9,X->X,0.3550973599942933,0.2293678122454473,0.7881022691726685
9,S->S,0.2658071888218838,0.25949151470797555,0.8642103531781364
9,R1->R1,0.22336328839670327,0.2478581572718505,0.917786486008588
9,P->P,0.6693491815766763,0.22541713693904963,0.9782000780105591
10,X->S,0.056441594387468375,0.04325029317972103,0.2955554723739624
10,X->R1,0.043253508303678245,0.04303734750054639,0.25567811727523804
10,X->P,0.599803971603424,0.24153521149278187,0.967151939868927
10,S->R1,0.12235926454237868,0.17518150040571095,0.8840004977057961
10,R1->S,0.15671983167587558,0.20119121478862922,0.9033599180333755
10,S->X,0.10682911064126202,0.08275305756750265,0.44275303447947784
10,R1->X,0.11081078706497681,0.09387947399739832,0.40378736047183766
10,X->X,0.3154669068060771,0.21369323143447494,0.911811888217926
10,S->S,0.21192967844996546,0.24239660536602883,0.8895043765797335
10,R1->R1,0.2109463412710612,0.23745405172886247,0.9403144612031824
10,P->P,0.7776034112598392,0.17263800248203304,0.9778745174407959
11,X->S,0.06206614853830875,0.02607901528226687,0.1822603940963745
11,X->R1,0.03730284810409926,0.02891189644438445,0.15065819025039673
11,X->P,0.257760768185281,0.19147545573292094,0.8454790115356445
11,S->R1,0.09766150420891637,0.09209774118387361,0.6425698224235984
11,R1->S,0.08774752266371116,0.03399219736303287,0.37764633403104897
11,S->X,0.09356029978653296,0.05338571332862322,0.36600957197301526
11,R1->X,0.08865961009546519,0.08287000563006892,0.6124708512250114
11,X->X,0.6821931588596531,0.18677072616998708,0.9741078019142151
11,S->S,0.8002970079247023,0.14955958005592584,0.9744470259722542
11,R1->R1,0.8097436697918828,0.15170912168775566,0.9868226892807904
11,P->P,0.8531081675152693,0.13063398070358712,0.992516815662384
12,X->S,0.08607249179922724,0.07261498969608629,0.48298829793930054
12,X->R1,0.10649926075791968,0.17634516711408,0.6949436664581299
12,X->P,0.29049902179810616,0.21935724537560253,0.996617317199707
12,S->R1,0.08870244621907698,0.05525152294134152,0.41446326760684743
12,R1->S,0.09376442593408074,0.046217095253723486,0.294736525591682
12,S->X,0.15359271416624523,0.12203888789661266,0.6951574437758502
12,R1->X,0.20882989309241615,0.22990481892021353,0.8917063544778263
12,X->X,0.547747255941864,0.2507339795155652,0.9328261613845825
12,S->S,0.6303445674286285,0.29923281460981865,0.9520259183995864
12,R1->R1,0.5879862082351983,0.3121935875412115,0.9594232895795036
12,P->P,0.636818304081403,0.31857762031591813,0.9988754987716675
13,X->S,0.07370584364807223,0.04390749032107769,0.2529517412185669
13,X->R1,0.061962281972358015,0.07913493951803863,0.31628599762916565
13,X->P,0.282794704034348,0.18928558357317818,0.940731406211853
13,S->R1,0.11316597815837806,0.09046264830355909,0.7197960685281193
13,R1->S,0.09299557976664699,0.03875916452928238,0.3245898415060604
13,S->X,0.09330836739338914,0.04092750174977631,0.27593719258027916
13,R1->X,0.09459019742426084,0.07542855023789917,0.4635341868681066
13,X->X,0.6192733728703821,0.19327139003087151,0.9257775545120239
13,S->S,0.7460205707939066,0.19521794223543748,0.9545046862433938
13,R1->R1,0.7595961311367713,0.19847189933902748,0.9746529074276195
13,P->P,0.691672915038431,0.28739328680033477,0.998130738735199
14,X->S,0.07790646818812959,0.06368226259749134,0.3601759076118469
14,X->R1,0.09717394773456146,0.15441142144246556,0.7046046853065491
14,X->P,0.3504709158234099,0.2247283897806945,0.9349887371063232
14,S->R1,0.08252678232669246,0.049575250038008445,0.285341599408318
14,R1->S,0.079998878741256,0.027045220519663366,0.22965417188756607
14,S->X,0.1474490061204056,0.08177368868984115,0.3982671849867877
14,R1->X,0.18041654341561975,0.13435815754904604,0.5514734492582434
14,X->X,0.5035244261608958,0.25143468156667387,0.9696078300476074
14,S->S,0.6396677720801336,0.23928596001652686,0.9497548271627987
14,R1->R1,0.5850628481953501,0.29458621150790704,0.9713581309599035
14,P->P,0.6667381084102783,0.2775379372867877,0.9869502186775208
15,X->S,0.0627297285883244,0.04606235919851969,0.27466416358947754
15,X->R1,0.07644869738474622,0.11224372432012183,0.5437811613082886
15,X->P,0.4055888992124459,0.2121228537038951,0.9486643075942993
15,S->R1,0.08216400248329847,0.031885098288987564,0.21874678836149328
15,R1->S,0.07264281176187161,0.021018677081557257,0.18413891511804917
15,S->X,0.1385223775298572,0.10924319496851582,0.5935931486241958
15,R1->X,0.1527329217975161,0.14091642719523553,0.689549446105957
15,X->X,0.4825353314102228,0.21483219207373197,0.9113657474517822
