step,edge,mean,std,max
0,X->S,0.11807212352364635,0.10707351242014765,0.6798987984657288
0,X->R1,0.11783375866616552,0.15620216188048827,0.8112881183624268
0,X->P,0.2984434678519998,0.23830200097500176,0.9933006763458252
0,S->R1,0.11747945072401005,0.09586108326500072,0.8772502225988051
0,R1->S,0.12369564761333487,0.08965162123228007,0.9033599180333755
0,S->X,0.1349201674489122,0.13191455366937146,0.8602496876436121
0,R1->X,0.1439393161164423,0.16386215704499862,0.9088738385368796
0,X->X,0.5020667374646292,0.27534561701086396,0.984807014465332
0,S->S,0.5908058613458392,0.2861914238844286,0.9719818339628332
0,R1->R1,0.5753602912898158,0.2990095809109064,0.9970377753762638
0,P->P,0.6597866482815394,0.2708400453084585,0.9933910965919495
1,X->S,0.10928800558234798,0.09572724029682808,0.5930336713790894
1,X->R1,0.11842189915359388,0.15636852809889723,0.7947580218315125
1,X->P,0.2892326070279038,0.23345646387589736,0.9937899708747864
1,S->R1,0.1142942756698604,0.09411993200523565,0.8819282756132238
1,R1->S,0.11652860535310432,0.08510798062121248,0.8972988128662109
1,S->X,0.13753915475864037,0.1313711190655316,0.8457476111019359
1,R1->X,0.148463011342991,0.1679214743133491,0.9226450078627643
1,X->X,0.5190845135296694,0.2727873081053825,0.9869930744171143
1,S->S,0.5934621564989142,0.2876315575062643,0.9733157438390395
1,R1->R1,0.5783773764639409,0.30240425439114127,0.9976140190573299
1,P->P,0.6585012075180808,0.2711682320510739,0.9926809072494507
2,X->S,0.10370411110401619,0.08646700627678579,0.5655869245529175
2,X->R1,0.11807196897041043,0.15469157142099224,0.7669144868850708
2,X->P,0.28218557647400305,0.23044350443481204,0.9952925443649292
2,S->R1,0.11317961321367571,0.09324331195993697,0.8823381311753217
2,R1->S,0.11164422980455771,0.08170846596971527,0.8908515256993911
2,S->X,0.1404394340401917,0.13033384165916176,0.8205134447883157
2,R1->X,0.15275616806632766,0.17042914833435155,0.9304842107436236
2,X->X,0.5316070860740729,0.27100699232163866,0.9878851175308228
2,S->S,0.5928969298007296,0.2877345703536035,0.9739494323730469
2,R1->R1,0.57914761641017,0.30400493287695957,0.9978173199821921
2,P->P,0.6550790785035739,0.27177459186963976,0.9926259517669678
3,X->S,0.10152985710083158,0.08283568447017575,0.5553632974624634
3,X->R1,0.11623627125901596,0.15220790659783812,0.7403109073638916
3,X->P,0.2761017788891331,0.2288311054800666,0.9962529540061951
3,S->R1,0.11201461710307437,0.09181723793458951,0.8840004977057961
3,R1->S,0.10946680470336088,0.08000989049216134,0.888969196992762
3,S->X,0.14307594644197938,0.13013410732231193,0.8101054920869715
3,R1->X,0.15563776865683715,0.17199957441388886,0.9367580974803251
3,X->X,0.5413029519177508,0.27026594927312797,0.9884328246116638
3,S->S,0.5933032106738719,0.28784201497835016,0.9749286876005285
3,R1->R1,0.5797502504372128,0.30544953724597956,0.9980181525735294
3,P->P,0.6523604685006043,0.2721979300427149,0.9933034181594849
4,X->S,0.09774135862115751,0.07789551039467676,0.5170079469680786
4,X->R1,0.11077321655016324,0.14631538860072946,0.7067703008651733
4,X->P,0.26776293881315116,0.22471331434715267,0.9965314865112305
4,S->R1,0.10970972190574542,0.08873727399875582,0.873503516702091
4,R1->S,0.10591938698603104,0.07675099835892671,0.8747664058909697
4,S->X,0.14867141834624548,0.13101098745150522,0.803799124325023
4,R1->X,0.161733592188981,0.17463184296619616,0.9393633674172794
4,X->X,0.5584774307941552,0.2654743265485355,0.9889817237854004
4,S->S,0.5912712846534766,0.28815711493720775,0.9754470376407399
4,R1->R1,0.5784079590147174,0.3068484748349785,0.9981692819034352
4,P->P,0.6506490322916458,0.2717944195851672,0.9934060573577881
5,X->S,0.09560940854993533,0.07498710175962309,0.5046873688697815
5,X->R1,0.11175983169586591,0.14787455019171547,0.6978306770324707
5,X->P,0.2659098229081913,0.22569195372724096,0.996617317199707
5,S->R1,0.10994318030916117,0.08825461074821739,0.8677866318646599
5,R1->S,0.10430275865856445,0.07517202794894337,0.8746113496668199
5,S->X,0.14914061656185224,0.13062268935390822,0.808132059433881
5,R1->X,0.16386565034317685,0.17596273360684503,0.9472639420453239
5,X->X,0.5614002389522891,0.26563609797012433,0.9891172051429749
5,S->S,0.5914760318475173,0.28829325315455867,0.9761342441334444
5,R1->R1,0.5792096496165986,0.3072417069962245,0.9982619566075942
5,P->P,0.6509591661859304,0.27212133346885936,0.9936593770980835
6,X->S,0.09252919121836992,0.07093784446954923,0.4806821346282959
6,X->R1,0.1107754555309657,0.14748821479004645,0.7009992003440857
6,X->P,0.2649223277681934,0.22533823797786212,0.9960038661956787
6,S->R1,0.10939524932787298,0.08681850358663323,0.8480937060187844
6,R1->S,0.1017886477608023,0.07225077119741805,0.860308983746697
6,S->X,0.15077418897227915,0.12965598093957414,0.8128241370705998
6,R1->X,0.16788782154891285,0.1770553784759188,0.9497447294347426
6,X->X,0.5663520157950309,0.262559741006814,0.9888221025466919
6,S->S,0.5900097711551386,0.2876978359989767,0.9754019344554228
6,R1->R1,0.5777886162111563,0.30716136120715615,0.9982484929701861
6,P->P,0.6506951057507346,0.2730914590384214,0.9932970404624939
7,X->S,0.09259926805071397,0.06998503942872183,0.46925631165504456
7,X->R1,0.11074887966344249,0.14775336677726206,0.6940443515777588
